Year-month,Canon camera,Nikon camera,Sony camera
2006-01-01,5.956,3.288,9.156
2006-02-01,6.392,2.74,7.668
2006-03-01,6.88,2.632,8.888
2006-04-01,5.816,2.296,8.288
2006-05-01,8.472,1.744,6.584
2006-06-01,7.304,1.7,8.196
2006-07-01,7.668,1.98,8.352
2006-08-01,7.424,2.06,9.316
2006-09-01,7.112,2.936,8.352
2006-10-01,7.62,2.336,11.244
2006-11-01,6.324,2.728,8.548
2006-12-01,6.064,2.028,5.508
2007-01-01,8.092,3.304,8.604
2007-02-01,8.32,2.9,8.78
2007-03-01,8.196,3.056,8.748
2007-04-01,7.312,3.088,10.4
2007-05-01,5.592,2.16,6.648
2007-06-01,5.704,2.232,7.664
2007-07-01,6.756,2.152,7.892
2007-08-01,6.408,2.456,7.136
2007-09-01,5.464,2.748,7.788
2007-10-01,4.672,2.616,7.112
2007-11-01,6.968,2.496,6.136
2007-12-01,7.788,2.412,6.6
2008-01-01,5.672,2.592,7.736
2008-02-01,6.908,2.864,9.428
2008-03-01,7.68,3.048,7.672
2008-04-01,6.564,2.184,6.052
2008-05-01,6.5,3.188,7.512
2008-06-01,7.492,2.912,7.196
2008-07-01,6.408,3.296,9.896
2008-08-01,6.452,2.624,7.724
2008-09-01,6.288,2.896,7.216
2008-10-01,5.7,2.608,8.092
2008-11-01,5.452,2.228,6.72
2008-12-01,5.228,2.552,6.62
2009-01-01,6.9,2.8,7.1
2009-02-01,6.776,2.656,7.368
2009-03-01,6.116,2.672,6.412
2009-04-01,6.728,2.796,7.676
2009-05-01,6.536,3.228,8.636
2009-06-01,6.288,3.048,7.064
2009-07-01,6.324,3.304,8.772
2009-08-01,6.732,3.532,7.736
2009-09-01,7.288,3.512,8.8
2009-10-01,7.22,3.64,8.74
2009-11-01,6.512,3.948,6.34
2009-12-01,5.608,2.448,6.344
2010-01-01,9.404,3.628,8.568
2010-02-01,7.136,3.52,8.544
2010-03-01,7.496,3.308,6.396
2010-04-01,8.208,4.136,10.456
2010-05-01,7.268,3.144,7.188
2010-06-01,6.14,3.188,5.872
2010-07-01,6.852,3.308,7.44
2010-08-01,7.324,3.596,7.48
2010-09-01,6.144,3.292,6.564
2010-10-01,6.572,3.904,6.724
2010-11-01,6.0,3.24,6.36
2010-12-01,6.28,3.152,5.768
2011-01-01,7.152,3.708,6.34
2011-02-01,7.772,4.144,7.684
2011-03-01,7.468,3.94,7.792
2011-04-01,8.56,4.46,7.78
2011-05-01,7.252,3.86,6.888
2011-06-01,7.188,4.3,6.512
2011-07-01,6.904,3.632,6.664
2011-08-01,7.44,4.352,7.008
2011-09-01,8.044,4.512,7.444
