date,camera_canon,camera_nikon,camera_sony
2006-01-01,5.979919678714859,3.3012048192771086,9.19277108433735
2006-02-01,6.417670682730924,2.751004016064257,7.698795180722891
2006-03-01,6.907630522088353,2.642570281124498,8.923694779116467
2006-04-01,5.839357429718875,2.3052208835341363,8.32128514056225
2006-05-01,8.506024096385541,1.751004016064257,6.610441767068273
2006-06-01,7.333333333333333,1.7068273092369477,8.228915662650602
2006-07-01,7.698795180722891,1.9879518072289157,8.385542168674698
2006-08-01,7.453815261044177,2.068273092369478,9.353413654618475
2006-09-01,7.140562248995984,2.9477911646586343,8.385542168674698
2006-10-01,7.650602409638554,2.3453815261044175,11.289156626506024
2006-11-01,6.349397590361446,2.7389558232931726,8.582329317269076
2006-12-01,6.088353413654619,2.036144578313253,5.530120481927711
2007-01-01,8.124497991967871,3.317269076305221,8.63855421686747
2007-02-01,8.353413654618475,2.9116465863453813,8.815261044176706
2007-03-01,8.228915662650602,3.068273092369478,8.783132530120483
2007-04-01,7.341365461847389,3.1004016064257027,10.441767068273093
2007-05-01,5.614457831325301,2.1686746987951806,6.674698795180723
2007-06-01,5.7269076305220885,2.2409638554216866,7.694779116465863
2007-07-01,6.783132530120482,2.1606425702811247,7.923694779116466
2007-08-01,6.433734939759036,2.465863453815261,7.164658634538153
2007-09-01,5.485943775100401,2.7590361445783134,7.819277108433735
2007-10-01,4.690763052208835,2.6265060240963853,7.140562248995984
2007-11-01,6.995983935742972,2.5060240963855422,6.160642570281125
2007-12-01,7.819277108433735,2.4216867469879517,6.626506024096385
2008-01-01,5.694779116465863,2.602409638554217,7.767068273092369
2008-02-01,6.93574297188755,2.8755020080321283,9.465863453815262
2008-03-01,7.710843373493976,3.0602409638554215,7.7028112449799195
2008-04-01,6.590361445783133,2.1927710843373496,6.076305220883534
2008-05-01,6.526104417670683,3.2008032128514055,7.542168674698795
2008-06-01,7.522088353413655,2.923694779116466,7.224899598393574
2008-07-01,6.433734939759036,3.3092369477911645,9.93574297188755
2008-08-01,6.477911646586345,2.6345381526104417,7.755020080321285
2008-09-01,6.313253012048193,2.9076305220883536,7.244979919678715
2008-10-01,5.72289156626506,2.6184738955823295,8.124497991967871
2008-11-01,5.473895582329317,2.2369477911646585,6.746987951807229
2008-12-01,5.248995983935743,2.5622489959839356,6.646586345381526
2009-01-01,6.927710843373494,2.8112449799196786,7.128514056224899
2009-02-01,6.803212851405623,2.6666666666666665,7.397590361445783
2009-03-01,6.140562248995984,2.682730923694779,6.437751004016064
2009-04-01,6.755020080321285,2.8072289156626504,7.706827309236948
2009-05-01,6.562248995983936,3.2409638554216866,8.670682730923694
2009-06-01,6.313253012048193,3.0602409638554215,7.092369477911647
2009-07-01,6.349397590361446,3.317269076305221,8.80722891566265
2009-08-01,6.759036144578313,3.5461847389558234,7.767068273092369
2009-09-01,7.317269076305221,3.5261044176706826,8.835341365461847
2009-10-01,7.248995983935743,3.6546184738955825,8.775100401606426
2009-11-01,6.538152610441767,3.963855421686747,6.365461847389558
2009-12-01,5.6305220883534135,2.4578313253012047,6.3694779116465865
2010-01-01,9.441767068273093,3.642570281124498,8.602409638554217
2010-02-01,7.164658634538153,3.534136546184739,8.578313253012048
2010-03-01,7.526104417670683,3.321285140562249,6.421686746987952
2010-04-01,8.240963855421686,4.152610441767068,10.497991967871487
2010-05-01,7.2971887550200805,3.1566265060240966,7.216867469879518
2010-06-01,6.164658634538153,3.2008032128514055,5.895582329317269
2010-07-01,6.879518072289157,3.321285140562249,7.469879518072289
2010-08-01,7.353413654618474,3.610441767068273,7.51004016064257
2010-09-01,6.168674698795181,3.3052208835341363,6.590361445783133
2010-10-01,6.598393574297189,3.9196787148594376,6.751004016064257
2010-11-01,6.024096385542169,3.253012048192771,6.385542168674699
2010-12-01,6.305220883534137,3.1646586345381524,5.791164658634538
2011-01-01,7.180722891566265,3.7228915662650603,6.365461847389558
2011-02-01,7.803212851405623,4.160642570281125,7.714859437751004
2011-03-01,7.497991967871486,3.9558232931726907,7.823293172690763
2011-04-01,8.594377510040161,4.477911646586345,7.811244979919679
2011-05-01,7.281124497991968,3.8755020080321283,6.9156626506024095
2011-06-01,7.216867469879518,4.317269076305221,6.538152610441767
2011-07-01,6.931726907630522,3.646586345381526,6.690763052208835
2011-08-01,7.469879518072289,4.3694779116465865,7.036144578313253
2011-09-01,8.076305220883533,4.530120481927711,7.473895582329317
2011-10-01,8.0,4.285140562248996,7.393574297188755
2011-11-01,6.224899598393574,4.232931726907631,6.008032128514056
2011-12-01,6.991967871485944,4.116465863453815,6.963855421686747
2012-01-01,7.401606425702811,4.742971887550201,6.730923694779117
2012-02-01,8.614457831325302,4.831325301204819,7.437751004016064
2012-03-01,6.582329317269076,3.7951807228915664,7.293172690763052
2012-04-01,7.269076305220883,4.393574297188755,6.008032128514056
2012-05-01,7.919678714859438,3.931726907630522,6.220883534136546
2012-06-01,8.048192771084338,5.377510040160643,6.6546184738955825
2012-07-01,8.04417670682731,5.096385542168675,6.9397590361445785
2012-08-01,7.815261044176707,4.803212851405623,7.0602409638554215
2012-09-01,8.261044176706827,5.100401606425703,7.923694779116466
2012-10-01,7.594377510040161,4.7028112449799195,7.783132530120482
2012-11-01,6.088353413654619,4.385542168674699,5.590361445783133
2012-12-01,6.682730923694779,4.461847389558233,6.124497991967871
2013-01-01,7.734939759036145,5.180722891566265,7.967871485943775
2013-02-01,7.698795180722891,4.959839357429719,7.020080321285141
2013-03-01,7.5582329317269075,5.096385542168675,7.024096385542169
