,Year-month,Canon mirrorless,Nikon mirrorless,Sony mirrorless
131,2016-12-01,2.092,1.684,3.824
132,2017-01-01,2.54,2.224,3.236
133,2017-02-01,2.8,1.94,2.86
134,2017-03-01,2.012,1.168,5.22
135,2017-04-01,2.932,0.916,3.352
136,2017-05-01,2.952,2.184,3.264
137,2017-06-01,2.832,1.52,4.848
138,2017-07-01,2.14,1.912,2.348
139,2017-08-01,3.304,2.332,3.564
140,2017-09-01,2.196,1.796,4.808
141,2017-10-01,3.484,1.776,3.54
142,2017-11-01,3.012,2.376,3.812
143,2017-12-01,2.46,1.532,4.808
144,2018-01-01,3.24,1.816,3.744
145,2018-02-01,3.184,1.968,3.648
146,2018-03-01,2.98,2.288,3.932
147,2018-04-01,4.456,1.152,3.992
148,2018-05-01,3.22,2.18,3.8
149,2018-06-01,3.852,1.492,3.456
150,2018-07-01,3.368,5.284,3.348
151,2018-08-01,3.516,8.66,2.224
152,2018-09-01,4.412,2.016,2.772
153,2018-10-01,3.796,1.428,2.776
154,2018-11-01,4.42,1.38,3.8
155,2018-12-01,3.824,1.82,2.756
156,2019-01-01,3.664,2.02,3.516
157,2019-02-01,4.308,3.348,2.744
158,2019-03-01,3.568,1.712,5.12
159,2019-04-01,3.82,1.96,3.42
160,2019-05-01,3.44,2.18,3.18
161,2019-06-01,4.048,1.888,2.864
162,2019-07-01,3.848,2.06,4.092
163,2019-08-01,4.536,2.684,4.78
164,2019-09-01,3.688,1.86,4.052
165,2019-10-01,4.48,2.636,3.684
166,2019-11-01,3.092,2.12,3.588
167,2019-12-01,4.456,1.756,3.788
168,2020-01-01,3.968,1.844,3.788
169,2020-02-01,3.516,1.412,3.872
170,2020-03-01,3.852,1.788,3.56
