date,mirrorless_canon,mirrorless_nikon,mirrorless_sony
2006-01-01,0.0,0.0,0.0
2006-02-01,0.0,0.0,0.0
2006-03-01,0.0,0.0,0.0
2006-04-01,0.0,0.0,0.0
2006-05-01,0.0,0.0,0.0
2006-06-01,0.0,0.0,0.0
2006-07-01,0.0,0.0,0.0
2006-08-01,0.0,0.0,0.0
2006-09-01,0.0,0.0,0.0
2006-10-01,0.0,0.0,0.0
2006-11-01,0.0,0.0,0.0
2006-12-01,0.0,0.0,0.0
2007-01-01,0.0,0.0,0.0
2007-02-01,0.0,0.0,0.0
2007-03-01,0.0,0.0,0.0
2007-04-01,0.0,0.0,0.0
2007-05-01,0.0,0.0,0.0
2007-06-01,0.0,0.0,0.0
2007-07-01,0.0,0.0,0.0
2007-08-01,0.0,0.0,0.0
2007-09-01,0.0,0.0,0.0
2007-10-01,0.0,0.0,0.0
2007-11-01,0.0,0.0,0.0
2007-12-01,0.0,0.0,0.0
2008-01-01,0.0,0.0,0.0
2008-02-01,0.0,0.0,0.0
2008-03-01,0.0,0.0,0.0
2008-04-01,0.0,0.0,0.0
2008-05-01,0.0,0.0,0.0
2008-06-01,0.0,0.0,0.0
2008-07-01,0.0,0.0,0.0
2008-08-01,0.0,0.0,0.0
2008-09-01,0.0,0.0,0.0
2008-10-01,0.0,0.0,0.0
2008-11-01,0.0,0.0,0.0
2008-12-01,0.0,0.0,0.0
2009-01-01,0.0,0.0,0.0
2009-02-01,0.0,0.0,0.0
2009-03-01,0.0,0.0,0.0
2009-04-01,0.0,0.0,0.0
2009-05-01,0.0,0.0,0.0
2009-06-01,0.0,0.0,0.0
2009-07-01,0.0,0.0,0.0
2009-08-01,0.0,0.0,0.0
2009-09-01,0.0,0.0,0.0
2009-10-01,0.0,0.0,0.0
2009-11-01,0.0,0.0,0.0
2009-12-01,0.0,0.0,0.0
2010-01-01,0.0,0.0,0.0
2010-02-01,0.0,0.0,0.8032128514056225
2010-03-01,0.0,0.0,0.40160642570281124
2010-04-01,0.0,0.0,0.8032128514056225
2010-05-01,0.0,0.0,0.40160642570281124
2010-06-01,0.0,0.20080321285140562,0.20080321285140562
2010-07-01,0.05622489959839357,0.6305220883534136,0.11646586345381527
2010-08-01,0.0,0.20080321285140562,0.20080321285140562
2010-09-01,0.11244979919678715,0.43373493975903615,0.2570281124497992
2010-10-01,0.6024096385542169,0.40160642570281124,0.20080321285140562
2010-11-01,0.7349397590361446,0.46987951807228917,0.40160642570281124
2010-12-01,0.5140562248995983,0.17269076305220885,0.11646586345381527
2011-01-01,0.8353413654618473,2.5060240963855422,1.0763052208835342
2011-02-01,0.11244979919678715,0.9759036144578314,0.11646586345381527
2011-03-01,0.6666666666666666,1.9116465863453815,0.23293172690763053
2011-04-01,0.37349397590361444,1.7228915662650603,0.714859437751004
2011-05-01,0.41365461847389556,0.4939759036144578,0.2971887550200803
2011-06-01,1.3534136546184738,0.42168674698795183,0.23293172690763053
2011-07-01,0.46987951807228917,0.3333333333333333,0.40160642570281124
2011-08-01,1.2248995983935742,3.5502008032128516,0.4457831325301205
2011-09-01,0.7429718875502008,2.7228915662650603,0.5502008032128514
2011-10-01,1.4257028112449799,1.7309236947791165,0.8594377510040161
2011-11-01,1.1526104417670682,1.4779116465863453,0.9839357429718876
