date,mirrorless_canon,mirrorless_nikon,mirrorless_sony
2006-01-01,0.0,0.0,0.0
2006-02-01,0.0,0.0,0.0
2006-03-01,0.0,0.0,0.0
2006-04-01,0.0,0.0,0.0
2006-05-01,0.0,0.0,0.0
2006-06-01,0.0,0.0,0.0
2006-07-01,0.0,0.0,0.0
2006-08-01,0.0,0.0,0.0
2006-09-01,0.0,0.0,0.0
2006-10-01,0.0,0.0,0.0
2006-11-01,0.0,0.0,0.0
2006-12-01,0.0,0.0,0.0
2007-01-01,0.0,0.0,0.0
2007-02-01,0.0,0.0,0.0
2007-03-01,0.0,0.0,0.0
2007-04-01,0.0,0.0,0.0
2007-05-01,0.0,0.0,0.0
2007-06-01,0.0,0.0,0.0
2007-07-01,0.0,0.0,0.0
2007-08-01,0.0,0.0,0.0
2007-09-01,0.0,0.0,0.0
2007-10-01,0.0,0.0,0.0
2007-11-01,0.0,0.0,0.0
2007-12-01,0.0,0.0,0.0
2008-01-01,0.0,0.0,0.0
2008-02-01,0.0,0.0,0.0
2008-03-01,0.0,0.0,0.0
2008-04-01,0.0,0.0,0.0
2008-05-01,0.0,0.0,0.0
2008-06-01,0.0,0.0,0.0
2008-07-01,0.0,0.0,0.0
2008-08-01,0.0,0.0,0.0
2008-09-01,0.0,0.0,0.0
2008-10-01,0.0,0.0,0.0
2008-11-01,0.0,0.0,0.0
2008-12-01,0.0,0.0,0.0
2009-01-01,0.0,0.0,0.0
2009-02-01,0.0,0.0,0.0
2009-03-01,0.0,0.0,0.0
2009-04-01,0.0,0.0,0.0
2009-05-01,0.0,0.0,0.0
2009-06-01,0.0,0.0,0.0
2009-07-01,0.0,0.0,0.0
2009-08-01,0.0,0.0,0.0
2009-09-01,0.0,0.0,0.0
2009-10-01,0.0,0.0,0.0
2009-11-01,0.0,0.0,0.0
2009-12-01,0.0,0.0,0.0
2010-01-01,0.0,0.0,0.0
2010-02-01,0.0,0.0,0.014416868155744392
2010-03-01,0.0,0.0,0.005490488890445793
2010-04-01,0.0,0.0,0.03681918587652358
2010-05-01,0.0,0.0,0.002641197789949369
2010-06-01,0.0,0.0024611774546218195,0.0024611774546218195
2010-07-01,0.004875573627020391,0.025903954247182878,0.010099402513113667
2010-08-01,0.0,0.017412762953644252,0.017412762953644252
2010-09-01,0.009751147254040781,0.022659982480849154,0.007336751081642211
2010-10-01,0.002572788285658429,0.004119458658689006,0.0005791283164233569
2010-11-01,0.015915527130634474,0.02363674728042356,0.01410890264485449
2010-12-01,0.0174554514089272,0.014974976140134058,0.010099402513113667
2011-01-01,0.015291843193134485,0.04811198400631024,0.07566463185234612
2011-02-01,0.009751147254040781,0.02467294026425555,0.010099402513113667
2011-03-01,0.012100945795842765,0.04095935700291444,0.011705544720871432
2011-04-01,0.01031996748269288,0.03637479986507535,0.014315200133101209
2011-05-01,0.005700247478546179,0.006798345256635337,0.004815658968839699
2011-06-01,0.024018532585974403,0.0193229100675364,0.011705544720871432
2011-07-01,0.016176129228412803,0.014237667994628103,0.014721023558668589
2011-08-01,0.020576365011586942,0.056476355562944225,0.013969744825472833
2011-09-01,0.02038142399356853,0.04466146024120614,0.010290749591860287
2011-10-01,0.020861838533514306,0.04350080455935162,0.010724662988035679
2011-11-01,0.02387270955483256,0.028228276109729018,0.029586177898971867
2011-12-01,0.015486163146456865,0.0762183121459273,0.027872985658086373
2012-01-01,0.04518488748744393,0.13182774703986194,0.022678923614910213
2012-02-01,0.039999838031839055,0.028776332507779837,0.006157211997469061
2012-03-01,0.044026608452597114,0.04254691165900491,0.019616906391908547
2012-04-01,0.02301686890847923,0.032424775877983855,0.038115226367646506
2012-05-01,0.034642073681499984,0.03626097090867957,0.01662114165816784
2012-06-01,0.0397219937511284,0.018998599311393628,0.02687098186153765
2012-07-01,0.09585683460725059,0.018620760698688094,0.012768516968513772
2012-08-01,0.05664419621983125,0.06902265294926985,0.04076474821994471
2012-09-01,0.06564883951102202,0.03837260317681882,0.05962807732209099
2012-10-01,0.07802639666546787,0.05225015822398805,0.05102097831957909
2012-11-01,0.029410685313352846,0.023373866068538977,0.038493035104446044
2012-12-01,0.04465815081626124,0.03656582497824725,0.0679328053520289
2013-01-01,0.032206652115736485,0.024240756057582677,0.09098726724783428
2013-02-01,0.05579187016605818,0.05769931256353302,0.036795660566084853
2013-03-01,0.08157885679433477,0.07934455222632814,0.023858700772888274
2013-04-01,0.03484216520726501,0.02617238043906254,0.031057350501665207
2013-05-01,0.0552757701197695,0.058032698893680595,0.04388557088857909
2013-06-01,0.06297930507918675,0.047020117417420036,0.045339057429137734
2013-07-01,0.05151573552743595,0.038770809454910925,0.049133381926799856
2013-08-01,0.06568519342874857,0.03379112228066819,0.05599554940179131
2013-09-01,0.052535997113767136,0.03618184009176465,0.05377506213783272
2013-10-01,0.06657620749008006,0.0496638724561441,0.050443177093018585
2013-11-01,0.05224172237232012,0.0457492879337347,0.06842975519949508
2013-12-01,0.053900107474504126,0.04694588017557764,0.06023323179431768
2014-01-01,0.05349500642736095,0.04405928912580404,0.0663686904977017
2014-02-01,0.04108105045903224,0.04834734157287285,0.06790143182767995
2014-03-01,0.06235935906633477,0.05853328108848899,0.07031970539251013
2014-04-01,0.04617694750901178,0.040404735495531245,0.0801899592892205
2014-05-01,0.05114946767824302,0.06098651151400386,0.07221110665091929
2014-06-01,0.06117860021234705,0.0407215785572264,0.054480707529750656
2014-07-01,0.0734328612183376,0.026578162221798415,0.07907919301129719
2014-08-01,0.04459171673944448,0.02728469935850183,0.07554387146394163
