date,dslr_canon,dslr_nikon,dslr_sony
2006-01-01,0.026119144430466378,0.016742924292749765,0.000537023782758721
2006-02-01,0.020252739182670267,0.015126053526628238,0.009878296213977183
2006-03-01,0.017219221680232582,0.039805250503805824,0.0034978618859950665
2006-04-01,0.04204403264383048,0.018493081598449895,0.027882845893234608
2006-05-01,0.033110315386060435,0.015093013709726993,0.023411746198299537
2006-06-01,0.01890261642505219,0.012531303346510123,0.03363000406404753
2006-07-01,0.01554003623436939,0.024642997329038997,0.02972719639905416
2006-08-01,0.08143038489715171,0.010226783726705697,0.024985474521459727
2006-09-01,0.0695074503049709,0.03809503205903774,0.017085112691455913
2006-10-01,0.08593599051700498,0.021190164932896417,0.022639008213305944
2006-11-01,0.036617970535525714,0.025595246722671283,0.023452342770648376
2006-12-01,0.023555879470666875,0.01581504089328258,0.03803201096121526
2007-01-01,0.035564873210615314,0.024710558634754447,0.012953442855210415
2007-02-01,0.03569096258433717,0.03149515765018885,0.032187782695278604
2007-03-01,0.047678770967221756,0.10737084209448021,0.026838760561371015
2007-04-01,0.06478506342444074,0.06371389441995642,0.02111810050499255
2007-05-01,0.04635153219105773,0.05360985010553758,0.03558021571947197
2007-06-01,0.04417173306355049,0.016561531263488215,0.04149517100572425
2007-07-01,0.03172481745575787,0.05060462465936009,0.032245735670028586
2007-08-01,0.08866708533380115,0.047841314219142714,0.04883313373285807
2007-09-01,0.030140825022939376,0.03269477025170635,0.017972838413892724
2007-10-01,0.08236211218524053,0.060787714556163386,0.04610488409171997
2007-11-01,0.05380918829590757,0.07445177561994706,0.033169480690128636
2007-12-01,0.04103869587773669,0.04532277724878407,0.04350021353452199
2008-01-01,0.04731911090935461,0.028809023435549804,0.0626600474822055
2008-02-01,0.0596108730089002,0.05291952366325693,0.04707021938205201
2008-03-01,0.07432174881839294,0.04322966863905848,0.03134814875994958
2008-04-01,0.07136192599778791,0.076935073882013,0.032282171655034796
2008-05-01,0.05174586188328874,0.026898248142269793,0.03960141194259181
2008-06-01,0.053574846491487776,0.042960671207549136,0.09210337962193116
2008-07-01,0.04464983327597374,0.04091063574873844,0.03187098419764
2008-08-01,0.09216247428607675,0.026767107704309713,0.03212917639418859
2008-09-01,0.06050359648970777,0.04365160532635,0.05332702500292043
2008-10-01,0.060678337021162106,0.056963140254720344,0.054205534181712735
2008-11-01,0.060590143542692904,0.05030957161937682,0.05815956071621101
2008-12-01,0.06312562636616989,0.06536665881115299,0.06960692168825308
2009-01-01,0.06777384362113062,0.0689096536950708,0.04930452387280176
2009-02-01,0.054117141675128766,0.07820615964429406,0.03895038214781147
2009-03-01,0.036971273060900395,0.03516047580453603,0.03977289025755022
2009-04-01,0.07965544406461185,0.06275012032811565,0.07076118769104384
2009-05-01,0.09290595983457717,0.056406420602455036,0.05694489775976732
2009-06-01,0.06571738958300359,0.08607922547839299,0.04556308508689172
2009-07-01,0.07970776147722528,0.0623875407518501,0.057403045117588425
2009-08-01,0.05624517572091819,0.06991114247608748,0.05691339013385545
2009-09-01,0.08858794222737633,0.06995267883498393,0.058899088662736
2009-10-01,0.07087956476916213,0.08362686666731577,0.054976710914205584
2009-11-01,0.07048607060921591,0.06296462466951976,0.06362805483702745
2009-12-01,0.09031164226109366,0.07203110066740206,0.06058656928572816
2010-01-01,0.09303210610959477,0.07809734042036132,0.045369084084019067
2010-02-01,0.07734817526570492,0.07542741570104698,0.04437410850693768
2010-03-01,0.09042148982502873,0.06882200886114774,0.05164437518871681
2010-04-01,0.09740704263126232,0.07847235950584315,0.0471567803748448
2010-05-01,0.09170414518601283,0.0783170114485021,0.037527474202990886
2010-06-01,0.08809293999124426,0.0768491773305652,0.07095780054137812
2010-07-01,0.08513500304540467,0.07888240032804167,0.040861079103307114
2010-08-01,0.07941891822983206,0.09824425402834042,0.05505437896222787
2010-09-01,0.09772670591233451,0.0779766484090132,0.04973034073968915
2010-10-01,0.09929199143285655,0.06594652051277408,0.0677635329724767
2010-11-01,0.11732416779899212,0.07453374784632864,0.047794048288382206
2010-12-01,0.10880643239030777,0.060695746602813065,0.06169018097642078
2011-01-01,0.10338813667295792,0.07298467590206852,0.0704104722989712
2011-02-01,0.08697176828012945,0.09191831605438197,0.06628766021647078
2011-03-01,0.10946156383138016,0.07250492097835967,0.05448041333328571
2011-04-01,0.11468987605076508,0.08579483091878798,0.044294562293249864
2011-05-01,0.09111793682319169,0.09439676644494438,0.04556542886198617
2011-06-01,0.1321008311509763,0.08919110814939724,0.05353083392628993
2011-07-01,0.11296114019177413,0.10418132777500347,0.038833376720664115
2011-08-01,0.10432152582741724,0.09514887156520047,0.046769804181240916
2011-09-01,0.11157779596916416,0.09211322279553108,0.0459790138799775
2011-10-01,0.11315997684184773,0.0889477478564518,0.0482062840179266
2011-11-01,0.1299417197473038,0.08268851555417639,0.04758169804503072
2011-12-01,0.11078066530833046,0.0895345707257959,0.053529258657660436
2012-01-01,0.13607231034867742,0.07927503687882516,0.04167822262606233
2012-02-01,0.11877620703662538,0.0839711193759546,0.038062452765102874
2012-03-01,0.11294862849751286,0.08129918125682803,0.05000853028810207
2012-04-01,0.15591942187602584,0.08420359561030598,0.04706045199038341
2012-05-01,0.13759256450417415,0.09360105175364569,0.04803303205184072
2012-06-01,0.13652022654044305,0.10126196666560867,0.04511811694569499
2012-07-01,0.12083695605891737,0.09485558347422446,0.04791165772005044
2012-08-01,0.13542364225367706,0.10318462842176888,0.03672212333265199
2012-09-01,0.1307312769782022,0.09962493477356205,0.04385128745914923
